기간,품목명,국가명,수출중량(톤),수출금액(천불),수입중량(톤),수입금액(천불)
2020,티타늄,이집트,,,,
2020,티타늄,인도,4,9,30000,9405
2020,티타늄,중국,274945,18488,126,188
2020,티타늄,캐나다,0,0,0,0
2020,티타늄,케냐,0,0,527,748
2020,티타늄,태국,0,0,24,7
2020,티타늄,호주,0,0,13027,7996
2020,티타늄,홍콩,,,,
2021,티타늄,남아프리카공화국,0,0,2000,2637
2021,티타늄,네덜란드,0,0,0,0
2021,티타늄,노르웨이,0,0,42772,10330
2021,티타늄,대만,0,0,38,77
2021,티타늄,독일,0,0,24,27
2021,티타늄,라이베리아,,,,
2021,티타늄,말레이시아,0,0,104,27
2021,티타늄,모잠비크,0,0,200,113
2021,티타늄,미국,0,0,0,0
2021,티타늄,베트남,0,0,42950,18963
2021,티타늄,세네갈,0,0,2580,3199
2021,티타늄,스리랑카,0,0,72,19
2021,티타늄,스페인,0,0,0,6
2021,티타늄,시에라리온,0,0,2460,3689
2021,티타늄,오스트리아,,,,
2021,티타늄,우크라이나,0,0,4080,7290
2021,티타늄,이집트,0,0,0,0
2021,티타늄,인도,0,0,11000,3839
2021,티타늄,중국,302062,23438,745,915
2021,티타늄,캐나다,0,0,0,0
2021,티타늄,케냐,0,0,3566,5259
2021,티타늄,태국,0,0,92,37
2021,티타늄,호주,0,0,5058,2494
2021,티타늄,홍콩,0,0,0,0
2020,망간,가봉,0,0,116631,19748
2020,망간,남아프리카공화국,0,0,428166,80174
2020,망간,네덜란드,0,0,60,43
2020,망간,대만,0,0,1145,32
2020,망간,독일,,,,
2020,망간,모로코,0,0,0,0
2020,망간,미국,0,0,323,446
2020,망간,볼리비아,,,,
2020,망간,브라질,0,0,0,0
2020,망간,인도,,,,
2020,망간,일본,0,0,2,13
2020,망간,중국,0,0,83,31
2020,망간,호주,0,0,520017,112683
2021,망간,가봉,0,0,101970,21580
2021,망간,남아프리카공화국,0,0,717245,147818
2021,망간,네덜란드,0,0,80,57
2021,망간,대만,0,0,588,12
2021,망간,독일,0,0,0,0
2021,망간,모로코,,,,
2021,망간,미국,0,0,380,539
2021,망간,볼리비아,0,0,0,0
2021,망간,브라질,,,,
2021,망간,인도,0,0,0,0
2021,망간,일본,0,0,0,0
2021,망간,중국,0,0,34,13
2021,망간,호주,0,0,504798,120337
2020,주석,나이지리아,,,,
2020,주석,대만,0,0,10,47
2020,주석,미국,,,,
2020,주석,미얀마,0,0,0,0
2020,주석,베트남,0,11,0,0
2020,주석,세네갈,,,,
2020,주석,인도,0,5,0,0
2020,주석,인도네시아,,,,
2020,주석,중국,2,60,0,0
2020,주석,콩고민주공화국,,,,
2021,주석,나이지리아,0,0,1,17
2021,주석,대만,,,,
2021,주석,미국,0,0,0,0
2021,주석,미얀마,,,,
2021,주석,베트남,1,18,0,0
2021,주석,세네갈,0,0,0,0
2021,주석,인도,0,5,0,0
2021,주석,인도네시아,0,3,0,0
2021,주석,중국,1,53,0,0
2021,주석,콩고민주공화국,0,0,0,0
2020,니켈,네덜란드,0,0,0,0
2020,니켈,뉴칼레도니아,0,0,2932121,203586
2020,니켈,룩셈부르크,,,,
2020,니켈,말레이시아,0,0,0,0
2020,니켈,미국,0,0,0,0
2020,니켈,베트남,0,0,0,0
2020,니켈,우루과이,0,0,0,2
2020,니켈,일본,18,9,0,0
2020,니켈,중국,22,2,22,6
2020,니켈,카자흐스탄,,,,
2020,니켈,터키,14,41,0,0
2020,니켈,필리핀,,,,
2020,니켈,호주,,,,
2020,니켈,홍콩,0,0,0,1
2021,니켈,네덜란드,0,0,0,5
2021,니켈,뉴칼레도니아,0,0,3076534,330115
2021,니켈,룩셈부르크,0,0,0,0
2021,니켈,말레이시아,,,,
2021,니켈,미국,0,0,0,0
2021,니켈,베트남,,,,
2021,니켈,우루과이,,,,
2021,니켈,일본,86,42,0,0
2021,니켈,중국,0,0,0,0
2021,니켈,카자흐스탄,0,0,0,0
2021,니켈,터키,,,,
2021,니켈,필리핀,0,0,105000,10563
2021,니켈,호주,0,0,0,0
2021,니켈,홍콩,,,,
2020,코발트,미국,0,0,0,0
2020,코발트,잠비아,,,,
2020,코발트,중국,0,0,,
2020,코발트,프랑스,,,0,1
2021,코발트,미국,,,0,0
2021,코발트,잠비아,0,0,0,0
2021,코발트,중국,0,0,,
2021,코발트,프랑스,,,0,0
2020,크롬,남아프리카공화국,0,0,120,42
2020,크롬,네덜란드,,,,
2020,크롬,대만,,,,
2020,크롬,독일,0,0,36,40
2020,크롬,벨기에,0,0,0,1
2020,크롬,인도,0,0,0,0
2020,크롬,일본,0,0,40,61
2020,크롬,중국,1438,189,1135,412
2020,크롬,파키스탄,0,0,24,7
2020,크롬,필리핀,0,0,0,0
2021,크롬,남아프리카공화국,0,0,180,99
2021,크롬,네덜란드,0,0,25,13
2021,크롬,대만,2,2,0,0
2021,크롬,독일,0,0,8,9
2021,크롬,벨기에,0,0,0,3
2021,크롬,인도,,,,
2021,크롬,일본,20,11,30,45
2021,크롬,중국,44,17,191,78
2021,크롬,파키스탄,0,0,1320,585
2021,크롬,필리핀,,,,
2020,탄탈륨,라이베리아,0,0,0,0
2020,탄탈륨,미국,0,0,0,0
2020,탄탈륨,중국,0,0,0,6
2020,탄탈륨,케냐,,,,
2021,탄탈륨,라이베리아,,,,
2021,탄탈륨,미국,,,,
2021,탄탈륨,중국,0,0,0,15
2021,탄탈륨,케냐,0,0,0,0
2020,니오븀,미국,,,,
2020,니오븀,슬로베니아,,,,
2020,니오븀,일본,0,0,0,2
2020,니오븀,중국,,,,
2021,니오븀,미국,0,0,0,11
2021,니오븀,슬로베니아,0,0,0,0
2021,니오븀,일본,,,,
2021,니오븀,중국,0,0,0,12
2020,바나듐,네덜란드,0,0,389,243
2020,바나듐,뉴질랜드,0,0,1,1
2020,바나듐,대만,70,38,0,0
2020,바나듐,베트남,2902,2092,0,0
2020,바나듐,인도,199,90,0,0
2020,바나듐,캄보디아,,,,
2020,바나듐,태국,,,,
2021,바나듐,네덜란드,,,,
2021,바나듐,뉴질랜드,,,,
2021,바나듐,대만,,,,
2021,바나듐,베트남,5742,5004,0,0
2021,바나듐,인도,253,152,0,0
2021,바나듐,캄보디아,692,642,0,0
2021,바나듐,태국,1263,1089,0,0
2020,리튬,대만,0,5,0,0
2020,리튬,독일,0,0,0,2
2020,리튬,러시아연방,505,4003,1725,15454
2020,리튬,말레이시아,58,1383,0,0
2020,리튬,미국,0,0,253,3702
2020,리튬,방글라데시,,,,
2020,리튬,베트남,0,0,0,0
2020,리튬,벨기에,25,341,0,0
2020,리튬,스위스,0,0,0,0
2020,리튬,슬로베니아,0,0,12,453
2020,리튬,싱가포르,0,0,0,0
2020,리튬,UAE,1,17,0,0
2020,리튬,아르헨티나,0,0,537,3249
2020,리튬,영국,0,0,9,152
2020,리튬,인도,0,0,0,1
2020,리튬,인도네시아,2,50,0,0
2020,리튬,일본,149,1930,1,20
2020,리튬,중국,804,10499,32126,384756
2020,리튬,칠레,0,0,32690,343047
2020,리튬,카자흐스탄,0,0,0,0
2020,리튬,캐나다,0,0,0,0
2020,리튬,크로아티아,0,0,9,225
2020,리튬,태국,0,1,0,0
2020,리튬,파키스탄,0,3,0,0
2020,리튬,폴란드,,,,
2020,리튬,헝가리,81,2081,0,0
2020,리튬,홍콩,0,0,0,0
2021,리튬,대만,0,3,0,0
2021,리튬,독일,0,0,1,72
2021,리튬,러시아연방,1179,9600,2823,28803
2021,리튬,말레이시아,61,1502,0,0
2021,리튬,미국,0,0,479,5620
2021,리튬,방글라데시,0,0,0,0
2021,리튬,베트남,,,,
2021,리튬,벨기에,1,5,0,0
2021,리튬,스위스,,,,
2021,리튬,슬로베니아,0,0,6,264
2021,리튬,싱가포르,0,0,0,0
2021,리튬,UAE,,,,
2021,리튬,아르헨티나,0,0,1888,16855
2021,리튬,영국,0,0,10,86
2021,리튬,인도,0,0,0,1
2021,리튬,인도네시아,2,146,0,0
2021,리튬,일본,357,4270,1,29
2021,리튬,중국,3303,36444,47414,607960
2021,리튬,칠레,0,0,42216,388076
2021,리튬,카자흐스탄,,,,
2021,리튬,캐나다,0,0,0,0
2021,리튬,크로아티아,,,,
2021,리튬,태국,0,0,0,0
2021,리튬,파키스탄,0,3,0,0
2021,리튬,폴란드,0,0,0,0
2021,리튬,헝가리,77,1959,0,0
2021,리튬,홍콩,0,0,0,1
2020,토상흑연,네덜란드,0,0,0,1
2020,토상흑연,대만,0,0,0,8
2020,토상흑연,독일,0,0,98,479
2020,토상흑연,마다가스카르,0,0,0,0
2020,토상흑연,말레이시아,0,0,0,0
2020,토상흑연,미국,0,0,1081,6708
2020,토상흑연,베트남,2,59,64,6
2020,토상흑연,벨라루스,0,0,0,0
2020,토상흑연,스리랑카,0,0,123,400
2020,토상흑연,스웨덴,0,0,0,0
2020,토상흑연,스위스,0,0,0,0
2020,토상흑연,UAE,,,,
2020,토상흑연,영국,0,0,29,105
2020,토상흑연,오스트리아,0,0,1,9
2020,토상흑연,이탈리아,,,,
2020,토상흑연,인도,1,8,0,0
2020,토상흑연,인도네시아,12,7,0,0
2020,토상흑연,일본,0,1,105,360
2020,토상흑연,중국,364,811,33473,79449
2020,토상흑연,체코공화국,0,0,0,0
2020,토상흑연,캐나다,0,0,0,4
2020,토상흑연,크로아티아,0,0,0,0
2020,토상흑연,탄자니아,0,0,20,11
2020,토상흑연,태국,13,21,0,0
2020,토상흑연,터키,0,0,0,0
2020,토상흑연,포르투갈,0,0,0,1
2020,토상흑연,폴란드,,,,
2020,토상흑연,프,,,,
2020,토상흑연,호주,,,,
2020,토상흑연,홍콩,,,,
2021,토상흑연,네덜란드,,,,
2021,토상흑연,대만,0,0,0,31
2021,토상흑연,독일,0,0,123,611
2021,토상흑연,마다가스카르,,,,
2021,토상흑연,말레이시아,,,,
2021,토상흑연,미국,0,0,1163,7483
2021,토상흑연,베트남,1,15,0,0
2021,토상흑연,벨라루스,,,,
2021,토상흑연,스리랑카,0,0,171,580
2021,토상흑연,스웨덴,0,0,0,0
2021,토상흑연,스위스,,,,
2021,토상흑연,UAE,0,0,0,0
2021,토상흑연,영국,0,0,32,197
2021,토상흑연,오스트리아,0,0,2,12
2021,토상흑연,이탈리아,0,0,0,0
2021,토상흑연,인도,1,9,0,0
2021,토상흑연,인도네시아,7,4,0,0
2021,토상흑연,일본,0,0,121,390
2021,토상흑연,중국,309,922,39448,85453
2021,토상흑연,체코공화국,0,0,0,0
2021,토상흑연,캐나다,0,0,0,2
2021,토상흑연,크로아티아,,,,
2021,토상흑연,탄자니아,,,,
2021,토상흑연,태국,22,35,0,0
2021,토상흑연,터키,,,,
2021,토상흑연,포르투갈,,,,
2021,토상흑연,폴란드,0,0,0,0
2021,토상흑연,프,0,0,0,0
2021,토상흑연,호주,0,0,0,0
2021,토상흑연,홍콩,0,0,0,0
2020,인상흑연,대만,0,71,0,0
2020,인상흑연,독일,21,65,1476,4066
2020,인상흑연,마다가스카르,0,0,0,0
2020,인상흑연,모잠비크,0,0,0,0
2020,인상흑연,미국,0,0,1,21
2020,인상흑연,브라질,0,0,39,125
2020,인상흑연,스리랑카,0,0,0,2
2020,인상흑연,스위스,0,0,0,0
2020,인상흑연,싱가포르,0,65,0,0
2020,인상흑연,영국,0,0,2,9
2020,인상흑연,오만,,,,
2020,인상흑연,오스트리아,0,0,2,10
2020,인상흑연,인도,0,0,0,0
2020,인상흑연,일본,18,13,80,447
2020,인상흑연,중국,20,121,10124,9857
2020,인상흑연,체코공화국,0,0,1,6
2020,인상흑연,캐나다,0,0,36,136
2020,인상흑연,태국,4,17,0,0
2020,인상흑연,프랑스,,,,
2020,인상흑연,호주,0,0,0,0
2020,인상흑연,홍콩,0,0,0,0
2021,인상흑연,대만,0,113,0,0
2021,인상흑연,독일,0,0,1104,3578
2021,인상흑연,마다가스카르,0,0,18,9
2021,인상흑연,모잠비크,,,,
2021,인상흑연,미국,0,0,9,54
2021,인상흑연,브라질,0,0,101,291
2021,인상흑연,스리랑카,,,,
2021,인상흑연,스위스,,,,
2021,인상흑연,싱가포르,0,49,0,0
2021,인상흑연,영국,0,0,1,4
2021,인상흑연,오만,0,0,0,0
2021,인상흑연,오스트리아,0,0,2,8
2021,인상흑연,인도,,,,
2021,인상흑연,일본,40,227,98,515
2021,인상흑연,중국,,,10047,11563
2021,인상흑연,체코공화국,0,0,,
2021,인상흑연,태국,11,47,15,67
2021,인상흑연,캐나다,0,0,0,0
2021,인상흑연,프랑스,0,0,0,0
2021,인상흑연,호주,,,,
2021,인상흑연,홍콩,,,,
2020,형석,남아프리카공화국,,,,
2020,형석,네덜란드,0,0,0,11
2020,형석,대 만,0,0,8,2
2020,형석,멕 시 코,0,0,3861,1424
2020,형석,모잠비크,,,,
2020,형석,몽 골,0,1,2819,1082
2020,형석,미 국,0,0,3,13
2020,형석,베 트 남,,,,
2020,형석,스 웨 덴,0,0,14,45
2020,형석,싱가포르,,,, 
2020,형석,아프가니스탄,0,0,2816,911
2020,형석,이탈리아,,,, 
2020,형석,인 도,0,0,40,27
2020,형석,일 본,0,0,16274,5891
2020,형석,중 국,191,84,41186,15203
2020,형석,태국,0,1,0,0
2020,형석,파키스탄,0,0,3452,908
2020,형석,필리핀,0,0,0,0
2020,형석,호주,0,0,0,0
2021,형석,남아프리카공화국,0,0,0,0
2021,형석,네덜란드,0,0,0,6
2021,형석,대 만,,,,
2021,형석,멕 시 코,0,0,22672,8537
2021,형석,모잠비크,0,0,0,0
2021,형석,몽 골,0,0,2819,1082
2021,형석,미 국,0,0,0,3
2021,형석,베 트 남,0,0,0,0
2021,형석,스 웨 덴,0,0,13,47
2021,형석,싱가포르,0,0,0,0
2021,형석,아프가니스탄,0,0,1153,570
2021,형석,이탈리아,0,0,0,0
2021,형석,인 도,,,,
2021,형석,일 본,0,0,3250,1165
2021,형석,중 국,249,146,36256,16024
2021,형석,태국,0,0,0,0
2021,형석,파키스탄,0,0,13789,3510
2021,형석,필리핀,,,,
2021,형석,호주,,,,
2020,석회석류,과테말라,,,,
2020,석회석류,그 리 스,0,0,184,67
2020,석회석류,네덜란드,0,0,0,0
2020,석회석류,노르웨이,0,0,416,118
2020,석회석류,뉴질랜드,,,,
2020,석회석류,대 만,,,,
2020,석회석류,독 일,0,4,300,105
2020,석회석류,마케도니아,0,0,149,57
