±¤Á¾,Ç°¸ñ,´ë·ú,±¹°¡,´ÜÀ§,2011 »ý»ê·®,2012 »ý»ê·®,2013 »ý»ê·®,2014 »ý»ê·®,2015 »ý»ê·®,2016 »ý»ê·®,2017 »ý»ê·®,2018 »ý»ê·®,2019 »ý»ê·®,2020 »ý»ê·®,2021 »ý»ê·®,2022 »ý»ê·®
´ÏÄÌ,mine,ASIA,Indonesia,ÃµÅæ,226.907,622.218,811.481,145.548,128.605,202.946,358.242,619.937,863.965,780.661,1042.814,1625.057
´ÏÄÌ,mine,ASIA,Kazakhstan,ÃµÅæ,0,0,0,0,0,0,0,0,0,0,0,0
´ÏÄÌ,mine,ASIA,Myanmar,ÃµÅæ,0.8,4.9,1.67,19.714,22.902,22.6,21.785,17.802,14.445,24.539,21.127,10.834
´ÏÄÌ,mine,ASIA,Philippines,ÃµÅæ,319.353,317.621,313.05,443.909,466.754,345.506,379.377,389.966,341.325,328.911,393.687,325.679
´ÏÄÌ,mine,ASIA,Turkey,ÃµÅæ,0.848,3.814,1.178,3.035,8.637,9.337,14.767,13.559,4.742,20.201,11.647,25.759
´ÏÄÌ,mine,ASIA,Vietnam,ÃµÅæ,0,0,1.2,6.932,8.607,4.272,0,0,0,0,0,0
´ÏÄÌ,mine,AMERICA,Brazil,ÃµÅæ,74.579,89.565,74.387,85.6,89.32,78.626,68.803,65.254,55.744,77.133,75.988,75.3
´ÏÄÌ,mine,AMERICA,Canada,ÃµÅæ,219.025,211.701,227.743,228.867,234.519,235.034,214.302,185.962,193.056,157.99,116.234,93.64
´ÏÄÌ,mine,AMERICA,Colombia,ÃµÅæ,37.818,51.594,49.386,41.2,36.7,37.085,40.6,43.1,40.6,36.1,38.3,41.8
´ÏÄÌ,mine,AMERICA,Cuba,ÃµÅæ,68.552,64.595,55.62,51.587,50.064,47.753,49.29,48.951,45.492,50.061,49.929,51.101
´ÏÄÌ,mine,AMERICA,Dominican Republic,ÃµÅæ,13.498,15.186,9.4,0,0,9.913,15.632,19.214,28.45,21.316,27.32,29.477
´ÏÄÌ,mine,AMERICA,Guatemala,ÃµÅæ,0,2.422,10.184,46.914,56.506,44.746,55.73,39.02,32.133,49.643,64.933,50.762
´ÏÄÌ,mine,AMERICA,U.S.A.,ÃµÅæ,0,0,0,4.3,27.167,24.114,22.081,17.573,13.494,16.718,18.353,17.475
´ÏÄÌ,mine,AMERICA,Venezuela,ÃµÅæ,13.4,8.1,3.261,2.5,4.851,0,0,0,0,0,0,0
´ÏÄÌ,mine,OCEANIA,Australia,ÃµÅæ,215.014,282.066,292.62,266.181,225.227,203.136,185.466,160.022,158.75,169.344,150.875,160.996
´ÏÄÌ,mine,OCEANIA,New Caledonia,ÃµÅæ,128.113,131.693,164.406,175.174,193.199,204.21,215.382,216.225,208.185,199.697,186.284,199.951
´ÏÄÌ,mine,OCEANIA,Papua New Guinea,ÃµÅæ,0,5.283,11.37,20.987,25.581,22.269,34.666,35.355,32.722,33.659,31.594,34.304
´ÏÄÌ,refined,EUROPE,Austria,ÃµÅæ,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1
´ÏÄÌ,refined,EUROPE,Finland,ÃµÅæ,48.524,45.518,44.252,42.603,43.479,53.653,59.716,60.765,62.422,63.352,48.789,66.123
´ÏÄÌ,refined,EUROPE,France,ÃµÅæ,13.916,13.546,12.916,8.812,6.761,4.287,2.417,3.7,6.9,7.3,8.9,7.868
´ÏÄÌ,refined,EUROPE,Greece,ÃµÅæ,18.53,18.6,16.827,18.481,17.113,17.069,16.781,15.719,11.974,6.011,4.079,1.444
